event_id,slug,match,start_time_utc,team_a,team_b,outcome,market_id,market_question,market_yes_price,market_no_vig_probability,model_probability,calibrated_probability,edge,ev_per_dollar,full_kelly_fraction,deploy_fraction,deploy_amount,max_loss,profit_if_win,best_bid,best_ask,model_pick,market_pick,recommended
351761,fifwc-pan-hrv-2026-06-23,Panama vs. Croatia,2026-06-23T23:00:00Z,Panama,Croatia,Draw,1897247,Will Panama vs. Croatia end in a draw?,0.235,0.233831,0.135449,0.191431,-0.043569,-0.1854,0.0,0,0.0,0.0,0,0.23,0.24,Croatia,Croatia,PASS
351761,fifwc-pan-hrv-2026-06-23,Panama vs. Croatia,2026-06-23T23:00:00Z,Panama,Croatia,Croatia,1897249,Will Croatia win on 2026-06-23?,0.635,0.631841,0.710092,0.667864,0.032864,0.051754,0.090038,0.02,20.0,20.0,11.5,0.63,0.64,Croatia,Croatia,PASS
351762,fifwc-col-cdr-2026-06-23,Colombia vs. DR Congo,2026-06-24T02:00:00Z,Colombia,Congo DR,Colombia,1897254,Will Colombia win on 2026-06-23?,0.665,0.661692,0.866936,0.753378,0.088378,0.132899,0.263815,0.02,20.0,20.0,10.08,0.66,0.67,Colombia,Colombia,YES
351762,fifwc-col-cdr-2026-06-23,Colombia vs. DR Congo,2026-06-24T02:00:00Z,Colombia,Congo DR,Draw,1897255,Will Colombia vs. DR Congo end in a draw?,0.215,0.21393,0.1,0.16467,-0.05033,-0.234093,0.0,0,0.0,0.0,0,0.21,0.22,Colombia,Colombia,PASS
351762,fifwc-col-cdr-2026-06-23,Colombia vs. DR Congo,2026-06-24T02:00:00Z,Colombia,Congo DR,Congo DR,1897256,Will DR Congo win on 2026-06-23?,0.125,0.124378,0.033064,0.084764,-0.040236,-0.321889,0.0,0,0.0,0.0,0,0.12,0.13,Colombia,Colombia,PASS
351764,fifwc-bih-qat-2026-06-24,Bosnia-Herzegovina vs. Qatar,2026-06-24T19:00:00Z,Bosnia and Herzegovina,Qatar,Bosnia and Herzegovina,1897271,Will Bosnia and Herzegovina win on 2026-06-24?,0.575,0.572139,0.314237,0.460876,-0.114124,-0.198476,0.0,0,0.0,0.0,0,0.57,0.58,Qatar,Bosnia and Herzegovina,PASS
351764,fifwc-bih-qat-2026-06-24,Bosnia-Herzegovina vs. Qatar,2026-06-24T19:00:00Z,Bosnia and Herzegovina,Qatar,Draw,1897273,Will Bosnia and Herzegovina vs. Qatar end in a draw?,0.26,0.258706,0.204554,0.235734,-0.024266,-0.093332,0.0,0,0.0,0.0,0,0.25,0.27,Qatar,Bosnia and Herzegovina,PASS
351764,fifwc-bih-qat-2026-06-24,Bosnia-Herzegovina vs. Qatar,2026-06-24T19:00:00Z,Bosnia and Herzegovina,Qatar,Qatar,1897274,Will Qatar win on 2026-06-24?,0.17,0.169154,0.481209,0.306202,0.136202,0.801186,0.164098,0.02,20.0,20.0,97.65,0.16,0.18,Qatar,Bosnia and Herzegovina,YES
351763,fifwc-che-can-2026-06-24,Switzerland vs. Canada,2026-06-24T19:00:00Z,Switzerland,Canada,Switzerland,1897263,Will Switzerland win on 2026-06-24?,0.45,0.445545,0.542232,0.490366,0.040366,0.089702,0.073392,0.018348,18.35,18.35,22.43,0.44,0.46,Switzerland,Switzerland,YES
351763,fifwc-che-can-2026-06-24,Switzerland vs. Canada,2026-06-24T19:00:00Z,Switzerland,Canada,Draw,1897265,Will Switzerland vs. Canada end in a draw?,0.285,0.282178,0.185388,0.241405,-0.043595,-0.152966,0.0,0,0.0,0.0,0,0.28,0.29,Switzerland,Switzerland,PASS
351763,fifwc-che-can-2026-06-24,Switzerland vs. Canada,2026-06-24T19:00:00Z,Switzerland,Canada,Canada,1897266,Will Canada win on 2026-06-24?,0.275,0.272277,0.27238,0.273853,-0.001147,-0.00417,0.0,0,0.0,0.0,0,0.27,0.28,Switzerland,Switzerland,PASS
351765,fifwc-mar-hai-2026-06-24,Morocco vs. Haiti,2026-06-24T22:00:00Z,Morocco,Haiti,Morocco,1897279,Will Morocco win on 2026-06-24?,0.72,0.723618,0.851101,0.777377,0.057377,0.07969,0.204918,0.02,20.0,20.0,7.78,0.71,0.73,Morocco,Morocco,YES
351765,fifwc-mar-hai-2026-06-24,Morocco vs. Haiti,2026-06-24T22:00:00Z,Morocco,Haiti,Draw,1897280,Will Morocco vs. Haiti end in a draw?,0.175,0.175879,0.1,0.142176,-0.032824,-0.187565,0.0,0,0.0,0.0,0,0.17,0.18,Morocco,Morocco,PASS
351765,fifwc-mar-hai-2026-06-24,Morocco vs. Haiti,2026-06-24T22:00:00Z,Morocco,Haiti,Haiti,1897281,Will Haiti win on 2026-06-24?,0.1,0.100503,0.048899,0.077635,-0.022365,-0.223647,0.0,0,0.0,0.0,0,0.09,0.11,Morocco,Morocco,PASS
351766,fifwc-sco-bra-2026-06-24,Scotland vs. Brazil,2026-06-24T22:00:00Z,Scotland,Brazil,Scotland,1897286,Will Scotland win on 2026-06-24?,0.145,0.142857,0.11067,0.129976,-0.015024,-0.103617,0.0,0,0.0,0.0,0,0.14,0.15,Brazil,Brazil,PASS
351766,fifwc-sco-bra-2026-06-24,Scotland vs. Brazil,2026-06-24T22:00:00Z,Scotland,Brazil,Draw,1897289,Will Scotland vs. Brazil end in a draw?,0.195,0.192118,0.115754,0.160318,-0.034682,-0.177859,0.0,0,0.0,0.0,0,0.19,0.2,Brazil,Brazil,PASS
351766,fifwc-sco-bra-2026-06-24,Scotland vs. Brazil,2026-06-24T22:00:00Z,Scotland,Brazil,Brazil,1897291,Will Brazil win on 2026-06-24?,0.675,0.665025,0.773576,0.718142,0.043142,0.063914,0.132745,0.02,20.0,20.0,9.63,0.67,0.68,Brazil,Brazil,YES
351767,fifwc-cze-mex-2026-06-24,Czechia vs. Mexico,2026-06-25T01:00:00Z,Czech Republic,Mexico,Czech Republic,1897296,Will Czechia win on 2026-06-24?,0.195,0.19403,0.272859,0.229075,0.034075,0.174744,0.042329,0.010582,10.58,10.58,43.69,0.19,0.2,Mexico,Mexico,YES
351767,fifwc-cze-mex-2026-06-24,Czechia vs. Mexico,2026-06-25T01:00:00Z,Czech Republic,Mexico,Draw,1897297,Will Czechia vs. Mexico end in a draw?,0.265,0.263682,0.185599,0.23025,-0.03475,-0.131132,0.0,0,0.0,0.0,0,0.26,0.27,Mexico,Mexico,PASS
