match_date,match_id,year,side,team,opponent,population,wealth_gdp_ppp,avg_temp_c,rank,population_score,wealth_score,climate_score,ranking_score,score_for,score_against,actual,city,host_country
1994-06-21,13,1994,b,Bulgaria,Nigeria,8443591.0,7337.56505256554,10.6,43,0.4031139274575757,0.3748329649471963,0.835270211411272,0.2972160281740057,0,3,loss,Dallas,United States
1994-06-22,14,1994,a,Romania,Switzerland,22730211.0,4995.38530173463,9.1,10,0.518569732664062,0.2998375236290898,0.7453593045429804,0.5697596917617653,1,4,loss,Pontiac,United States
1994-06-22,14,1994,b,Switzerland,Romania,6993795.0,30265.4119215667,6.5,18,0.38115053352193073,0.6512191775224315,0.5728686816364933,0.4599311704813728,4,1,win,Pontiac,United States
1994-06-22,15,1994,a,United States,Colombia,263126000.0,27694.853416234,8.6,44,0.8040870151559608,0.6339067048946594,0.7131776783554898,0.2929204138936311,2,1,win,Pasadena,United States
1994-06-22,15,1994,b,Colombia,United States,35127410.0,6173.63611479219,24.8,12,0.5693190389893463,0.34114403122424725,0.6200068879809457,0.5356927280555478,1,2,loss,Pasadena,United States
1994-06-23,16,1994,a,Italy,Norway,56843400.0,21368.5687948064,13.5,4,0.6254350825363034,0.583325144997896,0.962154491713458,0.7409695237531486,1,0,win,East Rutherford,United States
1994-06-23,16,1994,b,Norway,Italy,4336613.0,23027.353929175,1.5,23,0.32542957035314996,0.5979074524010377,0.27312123280177847,0.4141297960952067,0,1,loss,East Rutherford,United States
1994-06-23,17,1994,a,South Korea,Bolivia,44641540.0,12551.1693533946,11.5,29,0.5972632575929625,0.4795373775577809,0.8824969025845955,0.370817434616976,0,0,draw,Foxborough,United States
1994-06-23,17,1994,b,Bolivia,South Korea,7727322.0,3331.48694317208,20.0,90,0.3927789277954249,0.2208233974248218,0.9059551911095096,0.1592061003665638,0,0,draw,Foxborough,United States
1994-06-24,18,1994,a,Brazil,Cameroon,159265006.0,7727.24541738904,25.0,2,0.7455523372078952,0.38492592894476646,0.6065306597126334,0.8704847618765743,3,0,win,Palo Alto,United States
1994-06-24,18,1994,b,Cameroon,Brazil,12704903.0,1751.68522971639,24.6,37,0.45074956790307824,0.09543707513670674,0.6334696366573507,0.32529640685768524,0,3,loss,Palo Alto,United States
1994-06-24,19,1994,a,Mexico,Republic of Ireland,89259205.0,9465.90235452203,21.0,15,0.6780448587502019,0.4245101852526633,0.8569968914352789,0.4939981341875903,2,1,win,Orlando,United States
1994-06-24,19,1994,b,Republic of Ireland,Mexico,3590386.0,17011.4382733955,9.3,8,0.30341376461288844,0.538846785736149,0.7579796312276883,0.6114542856297229,1,2,loss,Orlando,United States
1994-06-24,20,1994,a,Sweden,Russia,8780745.0,21835.0182217095,2.1,10,0.40767877098931354,0.5875370504766189,0.3034148339163076,0.5697596917617653,3,1,win,Pontiac,United States
1994-06-24,20,1994,b,Russia,Sweden,148407912.0,5734.421875,-5.1,11,0.7373206419933854,0.32674910277736857,0.0640424024615019,0.5519508901404825,1,3,loss,Pontiac,United States
